date,open,close,high,low,volume,turnover,amount
2005-04-08,984.67,1003.45,1003.7,979.53,14762526.0,0.013999999999999999,9151349800.0
2005-04-11,1003.88,995.42,1008.74,992.77,15936066.0,0.0151,10436232200.0
2005-04-12,993.71,978.7,993.71,978.2,10226193.0,0.0097,6479563500.0
2005-04-13,987.95,1000.9,1006.5,987.95,16071687.0,0.0152,10029602100.0
2005-04-14,1004.64,986.98,1006.42,985.58,12945710.0,0.012199999999999999,7813424500.0
2005-04-15,982.61,974.08,982.61,971.93,10408955.0,0.0098,6541675500.0
2005-04-18,970.91,963.77,970.91,958.65,8598400.0,0.008100000000000001,5329138700.0
2005-04-19,962.92,965.89,968.87,957.91,9212623.0,0.0087,5768907800.0
2005-04-20,964.15,950.87,964.15,946.2,8850705.0,0.0083,5300003700.0
2005-04-21,948.86,943.98,955.55,938.6,9946145.0,0.009399999999999999,6140646100.0
2005-04-22,942.91,939.1,947.91,934.96,10691884.0,0.0101,6373550300.0
2005-04-25,935.99,930.07,935.99,920.16,11470478.0,0.0108,6667303100.000001
2005-04-26,928.43,937.08,939.7,924.66,11690471.0,0.011000000000000001,7029373100.000001
2005-04-27,938.57,926.6,938.91,925.9,10780611.0,0.0101,6432845900.0
2005-04-28,923.53,942.07,945.5,914.83,14343486.0,0.0134,8315813700.0
2005-04-29,940.81,932.4,942.45,929.81,11235419.0,0.0105,6853192400.0
2005-05-09,934.65,909.17,937.39,909.17,8529115.0,0.0078000000000000005,4889696400.0
2005-05-10,905.54,913.08,913.39,892.31,10494331.0,0.0096,5960910699.999999
2005-05-11,911.84,901.85,917.22,900.44,9042047.0,0.0083,5128333200.0
2005-05-12,899.97,885.82,900.06,883.51,10228720.0,0.009399999999999999,6107327200.0
2005-05-13,883.51,887.54,898.51,875.58,11244906.0,0.0103,6228419600.0
2005-05-16,885.39,875.27,885.39,869.33,8224288.0,0.0075,4630088500.0
2005-05-17,873.08,881.46,888.28,868.21,8772273.0,0.008,4635198600.0
2005-05-18,881.14,883.2,890.4,871.82,7878610.0,0.0072,4615409300.0
2005-05-19,882.84,884.17,888.02,871.29,8149583.0,0.0074,4263472600.0
2005-05-20,883.51,882.76,891.02,879.18,7226676.0,0.0066,3835476300.0
2005-05-23,880.28,863.34,880.28,862.1,7279795.0,0.0066,3725791100.0
2005-05-24,861.2,868.46,871.77,855.59,9206929.0,0.0084,4777971900.0
2005-05-25,867.66,868.45,876.31,861.66,7238556.0,0.0066,3742173200.0
2005-05-26,867.76,857.33,872.84,854.96,6622786.0,0.006,3470051100.0
2005-05-27,855.6,849.51,864.96,848.4,7749983.0,0.006999999999999999,4240678800.0
2005-05-30,847.63,855.61,858.46,842.1,6971583.0,0.0063,3712116300.0
2005-05-31,856.56,855.95,863.2,853.29,7047821.0,0.0064,3601006700.0
2005-06-01,855.21,837.53,857.66,836.04,7902302.0,0.0072,4274074900.0
2005-06-02,835.47,818.38,835.49,812.99,9508657.0,0.0086,5220786200.0
2005-06-03,816.55,818.03,823.86,807.97,7936056.0,0.0072,4164754500.0
2005-06-06,816.73,839.0,839.15,807.78,9009185.0,0.008199999999999999,4685006500.0
2005-06-07,841.58,837.28,858.09,835.18,13067068.0,0.011899999999999999,7248577600.0
